text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"#Rangoon Day 2 (Saturday) #Australia #boxoffice - 14,459 USD [Rs. 9.63 lacs] from 17 screens
https://t.co/TOoU6retet",FALSE,0,NA,25-02-2017 17:07,FALSE,NA,8.35537E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",BollywoodFansLK,0,FALSE,FALSE,NA,NA
@SurbhiChandna Enjoy lady. We enjoyed #Ishqbaaaz n u enjoy #Rangoon.,FALSE,2,SurbhiChandna,25-02-2017 17:06,FALSE,8.35526E+17,8.35537E+17,33242346,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arora23_pri,0,FALSE,FALSE,NA,NA
"#Rangoon Day 1 (Friday) #UK #boxoffice - 17,254 USD [Rs. 11.49 lacs] from 32 screens
https://t.co/L3GqYa6nkS",FALSE,9,NA,25-02-2017 17:06,FALSE,NA,8.35537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bollyhungama,1,FALSE,FALSE,NA,NA
"RT @BollywoodUncut: <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>Just Go &amp; watch #Rangoon .. What a #fabulous movie!
#ShahidKapoor, #Kangana, #SaifAliKhan
Check Out  #PublicReview <ed><U+00A0><U+00BD><ed><U+00B1><U+0089>ht…",FALSE,0,NA,25-02-2017 17:06,FALSE,NA,8.35536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SalmaMasoudOma1,20,TRUE,FALSE,NA,NA
"RT @pandey_vk18: Happy Birthday to one of the finest actor of Bollywood @shahidkapoor 
Wish u best wishes for #Rangoon ND ur life <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>",FALSE,0,NA,25-02-2017 17:06,FALSE,NA,8.35536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SalmaMasoudOma1,5,TRUE,FALSE,NA,NA
RT @y7bak550: Just watched #Rangoon .. What a fabulous movie .. It's @shahidkapoor 's  best film what a powerful performance <ed><U+00A0><U+00BD><ed><U+00B9><U+0086> he just kill…,FALSE,0,NA,25-02-2017 17:06,FALSE,NA,8.35536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SalmaMasoudOma1,169,TRUE,FALSE,NA,NA
"#Rangoon Day 2 (Saturday) #NewZealand #boxoffice - 5,565 USD [Rs. 3.70 lacs] from 8 screens
https://t.co/TU5zvIltFd",FALSE,17,NA,25-02-2017 17:05,FALSE,NA,8.35536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bollyhungama,3,FALSE,FALSE,NA,NA
"RT @pandey_vk18: Happy Birthday to one of the finest actor of Bollywood @shahidkapoor 
Wish u best wishes for #Rangoon ND ur life <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>",FALSE,0,NA,25-02-2017 17:05,FALSE,NA,8.35536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bhumisolanki,5,TRUE,FALSE,NA,NA
RT @AkshayCanadian: #Rangoon liked it. Good film but not for everyone. Want kangana with srk in a film :) <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>,FALSE,0,NA,25-02-2017 17:05,FALSE,NA,8.35536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Saifwowwarrior,2,TRUE,FALSE,NA,NA
"#Rangoon Day 2 (Saturday) #Australia #boxoffice - 14,459 USD [Rs. 9.63 lacs] from 17 screens
https://t.co/TU5zvIltFd",FALSE,14,NA,25-02-2017 17:05,FALSE,NA,8.35536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bollyhungama,3,FALSE,FALSE,NA,NA
